Tên khu đại lý,Mã khu vực đại lý,Tên điểm GD,Mã khu vực,Tên điểm tiếp theo,Mã điểm tiếp theo
Khu vực Miền Bắc,HNI002,BN HUB,A19,HN THANH TRÌ,HNI044A
Khu vực Miền Bắc,HNI002,BN HUB,A18,HN THANH LIỆT,HNI045A
Khu vực Miền Bắc,HNI002,BN HUB,A17,HN PHÚ DIỄN,HNI046A
Khu vực Miền Bắc,HNI002,BN HUB,A16,HN XUÂN ĐỈNH,HNI047A
Khu vực Miền Nam,SR0001,HCM HUB,B13,VT XUYÊN MỘC,HCM044A
Khu vực Miền Nam,SR0001,HCM HUB,B12,VT CHÂU ĐỨC,HCM042D
Khu vực Miền Nam,SR0001,HCM HUB,C23,SG BẢY HIỀN,HCM045A
Khu vực Miền Bắc,HNI002,BN HUB,B17,BG BẮC GIANG,BNI004A
Khu vực Miền Bắc,HNI002,BN HUB,B14,BN BẮC NINH,BNI003A
Khu vực Miền Nam,SR0001,HCM HUB,C16,SG NHƠN ĐỨC,HCM041A
Khu vực Miền Bắc,HNI002,BN HUB,C02,SH DC,HNI023M
Khu vực Miền Bắc,HNI002,SH DC,H00,BN HUB,BNI001H
Khu vực Miền Bắc,HNI002,SH DC,P03,HN KIM LIÊN,HNI029A
Khu vực Miền Bắc,HNI002,SH DC,P02,HN ĐỐNG ĐA,HNI027A
Khu vực Miền Bắc,HNI002,SH DC,P01,HN LÁNG,HNI030A
Khu vực Miền Bắc,HNI002,SH DC,L04,HN BẠCH MAI,HNI026A
Khu vực Miền Bắc,HNI002,SH DC,L03,HN THANH XUÂN,HNI032A
Khu vực Miền Bắc,HNI002,SH DC,L02,HN VĨNH TUY,HNI033A
Khu vực Miền Bắc,HNI002,SH DC,L01,HN TÂY HỒ,HNI031A
Khu vực Miền Bắc,HNI002,SH DC,G02,HN HOÀN KIẾM,HNI028A
Khu vực Miền Bắc,HNI002,SH DC,G01,HN BA ĐÌNH,HNI025A
Khu vực Miền Nam,SR0001,HCM HUB,C21,AG THOẠI SƠN,AGI008A
Khu vực Miền Nam,SR0001,HCM HUB,C20,AG TỊNH BIÊN,AGI007A
Khu vực Miền Nam,SR0001,HCM HUB,C19,AG TÂN CHÂU,AGI006A
Khu vực Miền Nam,SR0001,HCM HUB,C18,AG AN PHÚ,AGI005A
Khu vực Miền Nam,SR0001,HCM HUB,C17,VL CHỢ LÁCH,VLG002A
Khu vực Miền Nam,SR0001,HCM HUB,C15,ST PHÚ LỢI,CTC008A
Khu vực Miền Bắc,HNI002,BN HUB,A14,HN SƠN TÂY,HNI017A
Khu vực Miền Bắc,HNI002,BN HUB,A11,HN MÊ LINH,HNI013A
Khu vực Miền Bắc,HNI002,BN HUB,A05,HN HOÀNG MAI,HNI038A
Khu vực Miền Bắc,HNI002,BN HUB,B11,HN NAM TỪ LIÊM,HNI022A
Khu vực Miền Bắc,HNI002,BN HUB,B06,HN HOÀI ĐỨC,HNI011A
Khu vực Miền Bắc,HNI002,BN HUB,B13,BN QUẾ VÕ,BNI001A
Khu vực Miền Bắc,HNI002,BN HUB,B12,HN BA VÌ 1,HNI035A
Khu vực Miền Bắc,HNI002,BN HUB,B09,HN HÁT MÔN,HNI004A
Khu vực Miền Bắc,HNI002,BN HUB,B07,HN HẠ BẰNG,HNI009A
Khu vực Miền Bắc,HNI002,BN HUB,B05,HN MỸ ĐỨC,HNI014A
Khu vực Miền Bắc,HNI002,BN HUB,B04,HN ỨNG HÒA,HNI021A
Khu vực Miền Bắc,HNI002,BN HUB,B03,HN THANH OAI,HNI018A
Khu vực Miền Bắc,HNI002,BN HUB,B02,HN CHÚC SƠN,HNI042A
Khu vực Miền Bắc,HNI002,BN HUB,B01,HN NGỌC HỒI,HNI034A
Khu vực Miền Bắc,HNI002,BN HUB,A15,HN PHÚC THỌ,HNI005A
Khu vực Miền Bắc,HNI002,BN HUB,A13,HN SÓC SƠN,HNI037A
Khu vực Miền Bắc,HNI002,BN HUB,A12,HN ĐÔNG ANH,HNI008A
Khu vực Miền Nam,SR0001,HCM HUB,C14,CT LONG MỸ,CTC006A
Khu vực Miền Nam,SR0001,HCM HUB,C13,ST VĨNH CHÂU,CTC007A
Khu vực Miền Nam,SR0001,HCM HUB,A02,SG BÌNH LỢI,HCM017D
Khu vực Miền Nam,SR0001,HCM HUB,A01,SG HÓC MÔN,HCM020D
Khu vực Miền Bắc,HNI002,BN HUB,A08,HN AN KHÁNH,HNI024A
Khu vực Miền Bắc,HNI002,BN HUB,A10,HN PHÚ XUYÊN,HNI016A
Khu vực Miền Bắc,HNI002,BN HUB,A09,HN THƯỜNG TÍN,HNI020A
Khu vực Miền Bắc,HNI002,BN HUB,A07,HN CHƯƠNG MỸ,HNI007A
Khu vực Miền Bắc,HNI002,BN HUB,A06,HN HÀ ĐÔNG,HNI010A
Khu vực Miền Bắc,HNI002,BN HUB,A03,HN LONG BIÊN,HNI012A
Khu vực Miền Bắc,HNI002,BN HUB,A01,HN THUẬN AN,HNI019A
Khu vực Miền Nam,SR0001,HCM HUB,C11,LA BẾN LỨC,TNI003A
Khu vực Miền Nam,SR0001,HCM HUB,C07,DC GIA ĐỊNH,HCM036M
Khu vực Miền Nam,SR0001,HCM HUB,C06,BD DĨ AN,HCM031A
Khu vực Miền Nam,SR0001,HCM HUB,C05,SG KHÁNH HỘI,HCM021D
Khu vực Miền Nam,SR0001,HCM HUB,B16,SG XUÂN THỚI SƠN,HCM024D
Khu vực Miền Nam,SR0001,HCM HUB,A18,VT VŨNG TÀU,HCM014D
Khu vực Miền Nam,SR0001,HCM HUB,A17,TG TRUNG AN,DTP006A
Khu vực Miền Nam,SR0001,HCM HUB,A14,TG AN HỮU,DTP004A
Khu vực Miền Nam,SR0001,HCM HUB,A12,TG HÒA KHÁNH,DTP007A
Khu vực Miền Nam,SR0001,HCM HUB,A10,DT CAO LÃNH,DTP002D
Khu vực Miền Nam,SR0001,HCM HUB,A09,CT NINH KIỀU,CTC003D
Khu vực Miền Nam,SR0001,HCM HUB,A06,AG CẦN ĐĂNG,AGI004A
Khu vực Miền Nam,SR0001,HCM HUB,A05,AG LONG XUYÊN,AGI001D
Khu vực Miền Bắc,HNI002,BN HUB,C01,HCM HUB,HCM004H
Khu vực Miền Nam,SR0001,HCM HUB,A08,CT BÌNH THỦY,CTC005A
Khu vực Miền Nam,SR0001,HCM HUB,A19,BN HUB,BNI001H
Khu vực Miền Nam,SR0001,HCM HUB,A07,CT Ô MÔN,CTC004A
Khu vực Miền Nam,SR0001,HCM HUB,C04,SG BÌNH TRỊ ĐÔNG,HCM035A
Khu vực Miền Nam,SR0001,HCM HUB,C03,SG BÌNH LỢI TRUNG,HCM033A
Khu vực Miền Nam,SR0001,HCM HUB,C02,SG HƯNG LONG,TNI002A
Khu vực Miền Nam,SR0001,HCM HUB,C01,SG CHỢ LỚN,HCM034A
Khu vực Miền Nam,SR0001,HCM HUB,B09,SG TÂN TẠO,HCM019D
Khu vực Miền Nam,SR0001,HCM HUB,B03,SG BÌNH TÂN,HCM008D
Khu vực Miền Nam,SR0001,HCM HUB,A15,LA TÂN AN,CTC002D
Khu vực Miền Nam,SR0001,HCM HUB,A13,VL VĨNH LONG,VLG001D
Khu vực Miền Nam,SR0001,HCM HUB,A11,DT SA ĐÉC,DTP003D
Khu vực Miền Nam,SR0001,HCM HUB,A04,LA ĐỨC HÒA,TNI001D
Khu vực Miền Nam,SR0001,HCM HUB,B15,SG TÂN NHỰT,HCM029D
Khu vực Miền Nam,SR0001,HCM HUB,B14,SG VĨNH LỘC,HCM025D
Khu vực Miền Nam,SR0001,HCM HUB,B11,SG AN PHÚ ĐÔNG,HCM010D
Khu vực Miền Nam,SR0001,HCM HUB,B08,SG CỦ CHI,HCM018D
Khu vực Miền Nam,SR0001,HCM HUB,B07,SG TÂN SƠN NHÌ,HCM012D
Khu vực Miền Nam,SR0001,HCM HUB,B05,SG PHÚ LÂM,HCM013D
Khu vực Miền Nam,SR0001,HCM HUB,B04,SG AN LẠC,HCM009D
Khu vực Miền Nam,SR0001,HCM HUB,B02,SG TÂN HƯNG,HCM026D
Khu vực Miền Nam,SR0001,HCM HUB,B01,SG ĐÔNG HƯNG THUẬN,HCM028D
